firstname, surname, year, category, motivation, country
Harald,zur Hausen,2008,medicine,"for his discovery of human papilloma viruses causing cervical cancer",Germany
Stanley B.,Prusiner,1997,medicine,"for his discovery of Prions - a new biological principle of infection",USA
Selman Abraham,Waksman,1952,medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",USA
Christiaan,Eijkman,1929,medicine,"for his discovery of the antineuritic vitamin",Netherlands
Schack August Steenberg,Krogh,1920,medicine,"for his discovery of the capillary motor regulating mechanism",Denmark
Edward Adelbert,Doisy,1943,medicine,"for his discovery of the chemical nature of vitamin K",USA
Hans Adolf,Krebs,1953,medicine,"for his discovery of the citric acid cycle",Kingdom
Ralph M.,Steinman,2011,medicine,"for his discovery of the dendritic cell and its role in adaptive immunity",USA
Otto Fritz,Meyerhof,1922,medicine,"for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle",Germany
Walter Rudolf,Hess,1949,medicine,"for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs",Switzerland
Susumu,Tonegawa,1987,medicine,"for his discovery of the genetic principle for generation of antibody diversity",USA
Sir Frederick Gowland,Hopkins,1929,medicine,"for his discovery of the growth-stimulating vitamins",Kingdom
,,1948,medicine,"for his discovery of the high efficiency of DDT as a contact poison against several arthropods",Switzerland
Willem,Einthoven,1924,medicine,"for his discovery of the mechanism of the electrocardiogram",Netherlands
Otto Heinrich,Warburg,1931,medicine,"for his discovery of the nature and mode of action of the respiratory enzyme",Germany
Hans,Spemann,1935,medicine,"for his discovery of the organizer effect in embryonic development",Germany
Bernardo Alberto,Houssay,1947,medicine,"for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar",Argentina
Johannes Andreas Grib,Fibiger,1926,medicine,"for his discovery of the Spiroptera carcinoma",Denmark
Antonio Caetano de Abreu Freire Egas,Moniz,1949,medicine,"for his discovery of the therapeutic value of leucotomy in certain psychoses",Portugal
Antonio Caetano de Abreu Freire Egas,Moniz,1949,medicine,"for his discovery of the therapeutic value of leucotomy in certain psychoses",Portugal
Julius,Wagner-Jauregg,1927,medicine,"for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica",Austria
Peyton,Rous,1966,medicine,"for his discovery of tumour-inducing viruses",USA
Henrik Carl Peter,Dam,1943,medicine,"for his discovery of vitamin K",Denmark
Archibald Vivian,Hill,1922,medicine,"for his discovery relating to the production of heat in the muscle",Kingdom
Robert,Koch,1905,medicine,"for his investigations and discoveries in relation to tuberculosis",Germany
Ronald,Ross,1902,medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",Kingdom
Emil Adolf,von Behring,1901,medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",Germany
Allvar,Gullstrand,1911,medicine,"for his work on the dioptrics of the eye",Sweden
,,1914,medicine,"for his work on the physiology and pathology of the vestibular apparatus",Austria
Emil Theodor,Kocher,1909,medicine,"for his work on the physiology, pathology and surgery of the thyroid gland",Switzerland
Charles Jules Henri,Nicolle,1928,medicine,"for his work on typhus",No data.
Godfrey N.,Hounsfield,1979,medicine,"for the development of computer assisted tomography",Kingdom
Allan M.,Cormack,1979,medicine,"for the development of computer assisted tomography",USA
Robert G.,Edwards,2010,medicine,"for the development of in vitro fertilization",Kingdom
Jack W.,Szostak,2009,medicine,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",USA
Jack W.,Szostak,2009,medicine,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",USA
Jack W.,Szostak,2009,medicine,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",No data.
John James Rickard,Macleod,1923,medicine,"for the discovery of insulin",Canada
Frederick Grant,Banting,1923,medicine,"for the discovery of insulin",Canada
Sir Alexander,Fleming,1945,medicine,"for the discovery of penicillin and its curative effect in various infectious diseases",Kingdom
Ernst Boris,Chain,1945,medicine,"for the discovery of penicillin and its curative effect in various infectious diseases",Kingdom
Sir Howard Walter,Florey,1945,medicine,"for the discovery of penicillin and its curative effect in various infectious diseases",Kingdom
Hamilton O.,Smith,1978,medicine,"for the discovery of restriction enzymes and their application to problems of molecular genetics",USA
Daniel,Nathans,1978,medicine,"for the discovery of restriction enzymes and their application to problems of molecular genetics",USA
Werner,Arber,1978,medicine,"for the discovery of restriction enzymes and their application to problems of molecular genetics",Switzerland
Gerhard,Domagk,1939,medicine,"for the discovery of the antibacterial effects of prontosil",Germany
Hermann Joseph,Muller,1946,medicine,"for the discovery of the production of mutations by means of X-ray irradiation",USA
Corneille Jean Fran�ois,Heymans,1938,medicine,"for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration",Belgium
Sir John B.,Gurdon,2012,medicine,"for the discovery that mature cells can be reprogrammed to become pluripotent",Kingdom
Shinya,Yamanaka,2012,medicine,"for the discovery that mature cells can be reprogrammed to become pluripotent",Japan
Shinya,Yamanaka,2012,medicine,"for the discovery that mature cells can be reprogrammed to become pluripotent",USA
